更新日期,#genre#
2025-11-05,https://gh.tryxd.cn/https://raw.githubusercontent.com/alantang1977/X/main/Pictures/Robot.mp4
广东频道,#genre#
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8$IPV4•线路1
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8$IPV4•线路2
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3$IPV4•线路1
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3$IPV4•线路2
广东珠江,http://120.238.94.10:9901/tsfile/live/1009_1.m3u8$IPV4•线路1
广东珠江,http://gmxw.7766.org:808/hls/83/index.m3u8$IPV4•线路2
广东珠江,http://183.11.239.36:808/hls/83/index.m3u8$IPV4•线路3
广东珠江,http://r.jdshipin.com/sE5vO$IPV4•线路4
广东珠江,http://lu.wqwqwq.sbs/itv/2000000003000000033.m3u8?cdn=hnbblive$IPV4•线路5
广东珠江,http://120.238.94.10:9901/tsfile/live/1009_1.m3u8$IPV4•线路6
广东珠江,http://gmxw.7766.org:808/hls/83/index.m3u8$IPV4•线路7
广东珠江,http://183.11.239.36:808/hls/83/index.m3u8$IPV4•线路8
广东珠江,http://r.jdshipin.com/sE5vO$IPV4•线路9
广东珠江,http://lu.wqwqwq.sbs/itv/2000000003000000033.m3u8?cdn=hnbblive$IPV4•线路10
广东体育,http://120.238.94.10:9901/tsfile/live/1012_1.m3u8$IPV4•线路1
广东体育,http://183.11.239.36:808/hls/2/index.m3u8$IPV4•线路2
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8$IPV4•线路3
广东体育,http://r.jdshipin.com/LiYdg$IPV4•线路4
广东体育,http://120.238.94.10:9901/tsfile/live/1012_1.m3u8$IPV4•线路5
广东体育,http://183.11.239.36:808/hls/2/index.m3u8$IPV4•线路6
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8$IPV4•线路7
广东体育,http://r.jdshipin.com/LiYdg$IPV4•线路8
广东民生,http://183.11.239.36:808/hls/18/index.m3u8$IPV4•线路1
广东民生,http://183.11.239.36:808/hls/18/index.m3u8$IPV4•线路2
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8$IPV4•线路1
大湾区卫视,http://183.11.239.36:808/hls/132/index.m3u8$IPV4•线路2
大湾区卫视,http://gmxw.7766.org:808/hls/132/index.m3u8$IPV4•线路3
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8$IPV4•线路4
大湾区卫视,http://183.11.239.36:808/hls/132/index.m3u8$IPV4•线路5
大湾区卫视,http://gmxw.7766.org:808/hls/132/index.m3u8$IPV4•线路6
大湾区频道,#genre#
翡翠台,http://fm1077.serv00.net/Smart.php?id=jade_twn$IPV4
J2,http://fm1077.serv00.net/Smart.php?id=j2_twn$IPV4
寰宇新聞台,http://fm1077.serv00.net/Smart.php?id=huanyuxinwen_twn$IPV4
Animax,http://fm1077.serv00.net/Smart.php?id=Animax$IPV4•线路1
Animax,http://fm1077.serv00.net/Smart.php?id=Animax$IPV4•线路2
Animax,http://fm1077.serv00.net/Smart.php?id=Animax$IPV4•线路3
中天亞洲台,http://fm1077.serv00.net/Smart.php?id=ctiasia_twn$IPV4
中視,http://fm1077.serv00.net/Smart.php?id=zhongshihd_twn$IPV4
華視,http://fm1077.serv00.net/Smart.php?id=ctshd_twn$IPV4
央视频道,#genre#
CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$IPV4•线路1
CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8$IPV4•线路2
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8$IPV4•线路3
CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8$IPV4•线路4
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$IPV4•线路5
CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$IPV4•线路6
CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8$IPV4•线路7
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8$IPV4•线路8
CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8$IPV4•线路9
CCTV1,http://183.11.239.36:808/hls/19/index.m3u8$IPV4•线路10
CCTV1,http://fm1077.serv00.net/Smart.php?id=cctv1$IPV4•线路11
CCTV2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8$IPV4•线路1
CCTV2,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8$IPV4•线路2
CCTV2,http://112.123.206.32:808/hls/2/index.m3u8$IPV4•线路3
CCTV2,http://183.11.239.36:808/hls/20/index.m3u8$IPV4•线路4
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8$IPV4•线路5
CCTV2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8$IPV4•线路6
CCTV2,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8$IPV4•线路7
CCTV2,http://112.123.206.32:808/hls/2/index.m3u8$IPV4•线路8
CCTV2,http://183.11.239.36:808/hls/20/index.m3u8$IPV4•线路9
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8$IPV4•线路10
CCTV2,http://fm1077.serv00.net/Smart.php?id=cctv2$IPV4•线路11
CCTV3,http://58.57.40.22:9901/tsfile/live/1002_1.m3u8$IPV4•线路1
CCTV3,http://gmxw.7766.org:808/hls/91/index.m3u8$IPV4•线路2
CCTV3,http://183.11.239.36:808/hls/91/index.m3u8$IPV4•线路3
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8$IPV4•线路4
CCTV3,http://58.57.40.22:9901/tsfile/live/1002_1.m3u8$IPV4•线路5
CCTV3,http://gmxw.7766.org:808/hls/91/index.m3u8$IPV4•线路6
CCTV3,http://183.11.239.36:808/hls/91/index.m3u8$IPV4•线路7
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8$IPV4•线路8
CCTV3,http://fm1077.serv00.net/Smart.php?id=cctv3$IPV4•线路9
CCTV4,http://58.57.40.22:9901/tsfile/live/1003_1.m3u8$IPV4•线路1
CCTV4,http://183.11.239.36:808/hls/22/index.m3u8$IPV4•线路2
CCTV4,http://183.11.239.36:808/hls/77/index.m3u8$IPV4•线路3
CCTV4,http://183.11.239.36:808/hls/67/index.m3u8$IPV4•线路4
CCTV4,http://58.57.40.22:9901/tsfile/live/1003_1.m3u8$IPV4•线路5
CCTV4,http://183.11.239.36:808/hls/22/index.m3u8$IPV4•线路6
CCTV4,http://183.11.239.36:808/hls/77/index.m3u8$IPV4•线路7
CCTV4,http://183.11.239.36:808/hls/67/index.m3u8$IPV4•线路8
CCTV4,http://fm1077.serv00.net/Smart.php?id=cctv4$IPV4•线路9
CCTV4,http://fm1077.serv00.net/Smart.php?id=Cctv4$IPV4•线路10
CCTV5,http://58.57.40.22:9901/tsfile/live/1004_1.m3u8$IPV4•线路1
CCTV5,http://gmxw.7766.org:808/hls/93/index.m3u8$IPV4•线路2
CCTV5,http://183.11.239.36:808/hls/93/index.m3u8$IPV4•线路3
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8$IPV4•线路4
CCTV5,http://124.128.73.58:9901/tsfile/live/0005_1.m3u8$IPV4•线路5
CCTV5,http://58.57.40.22:9901/tsfile/live/1004_1.m3u8$IPV4•线路6
CCTV5,http://gmxw.7766.org:808/hls/93/index.m3u8$IPV4•线路7
CCTV5,http://183.11.239.36:808/hls/93/index.m3u8$IPV4•线路8
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8$IPV4•线路9
CCTV5,http://124.128.73.58:9901/tsfile/live/0005_1.m3u8$IPV4•线路10
CCTV5,http://fm1077.serv00.net/Smart.php?id=cctv5$IPV4•线路11
CCTV5,http://fm1077.serv00.net/Smart.php?id=cctv5$IPV4•线路12
CCTV5+,http://58.57.40.22:9901/tsfile/live/1005_1.m3u8$IPV4•线路1
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8$IPV4•线路2
CCTV5+,http://222.169.85.8:9901/tsfile/live/0116_1.m3u8$IPV4•线路3
CCTV5+,http://cssbyd.imwork.net:8082/hls/6/index.m3u8$IPV4•线路4
CCTV5+,https://piccpndali.v.myalicdn.com/audio/cctv5plus_2.m3u8$IPV4•线路5
CCTV5+,http://58.57.40.22:9901/tsfile/live/1005_1.m3u8$IPV4•线路6
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8$IPV4•线路7
CCTV5+,http://222.169.85.8:9901/tsfile/live/0116_1.m3u8$IPV4•线路8
CCTV5+,http://cssbyd.imwork.net:8082/hls/6/index.m3u8$IPV4•线路9
CCTV5+,https://piccpndali.v.myalicdn.com/audio/cctv5plus_2.m3u8$IPV4•线路10
CCTV5+,http://fm1077.serv00.net/Smart.php?id=cctv5plus$IPV4•线路11
CCTV5+,http://fm1077.serv00.net/Smart.php?id=cctv5plus$IPV4•线路12
CCTV6,http://58.57.40.22:9901/tsfile/live/1006_1.m3u8$IPV4•线路1
